AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL,PASSENGERS_IN,PASSENGERS_OUT,PASSENGERS_TOTAL
BRISBANE,2010,9,687199,679663,1366862,187251,193066,380317,874450,872729,1747179
BRISBANE,2010,10,705758,711488,1417246,197989,178468,376457,903747,889956,1793703
BRISBANE,2010,11,663810,669962,1333772,167586,178601,346187,831396,848563,1679959
BRISBANE,2010,12,696432,683949,1380381,183545,213138,396683,879977,897087,1777064
BRISBANE,2011,1,583192,600245,1183437,216100,179977,396077,799292,780222,1579514
BRISBANE,2011,2,550493,554263,1104756,160230,146869,307099,710723,701132,1411855
BRISBANE,2011,3,639595,638987,1278582,155406,155471,310877,795001,794458,1589459
BRISBANE,2011,4,659295,659943,1319238,170423,184505,354928,829718,844448,1674166
BRISBANE,2011,5,646930,644697,1291627,165542,168888,334430,812472,813585,1626057
BRISBANE,2011,6,625865,632359,1258224,166624,189150,355774,792489,821509,1613998
BRISBANE,2011,7,728844,703758,1432602,230003,191645,421648,958847,895403,1854250
BRISBANE,2011,8,695252,696200,1391452,186412,198789,385201,881664,894989,1776653
BRISBANE,2011,9,707665,694602,1402267,191295,200297,391592,898960,894899,1793859
BRISBANE,2011,10,711157,722627,1433784,216988,183402,400390,928145,906029,1834174
BRISBANE,2011,11,687385,697645,1385030,177310,187609,364919,864695,885254,1749949
BRISBANE,2011,12,713241,694743,1407984,196012,225920,421932,909253,920663,1829916
BRISBANE,2012,1,652897,672445,1325342,230713,186380,417093,883610,858825,1742435
BRISBANE,2012,2,598252,600302,1198554,171310,151617,322927,769562,751919,1521481
BRISBANE,2012,3,685394,684321,1369715,169085,171101,340186,854479,855422,1709901
BRISBANE,2012,4,672498,672012,1344510,180955,181959,362914,853453,853971,1707424
BRISBANE,2012,5,670557,669601,1340158,157384,162873,320257,827941,832474,1660415
BRISBANE,2012,6,658058,664158,1322216,178946,191999,370945,837004,856157,1693161
BRISBANE,2012,7,733530,726697,1460227,220763,184288,405051,954293,910985,1865278
BRISBANE,2012,8,720138,712978,1433116,183399,190788,374187,903537,903766,1807303
BRISBANE,2012,9,719914,713252,1433166,191827,196811,388638,911741,910063,1821804
BRISBANE,2012,10,755041,759021,1514062,212706,180386,393092,967747,939407,1907154
BRISBANE,2012,11,722127,720893,1443020,175100,184029,359129,897227,904922,1802149
BRISBANE,2012,12,717679,699584,1417263,200049,216945,416994,917728,916529,1834257
BRISBANE,2013,1,654088,674779,1328867,222033,181468,403501,876121,856247,1732368
BRISBANE,2013,2,600209,600660,1200869,176148,156465,332613,776357,757125,1533482
BRISBANE,2013,3,676094,669643,1345737,180132,184082,364214,856226,853725,1709951
BRISBANE,2013,4,682036,674360,1356396,183072,174775,357847,865108,849135,1714243
BRISBANE,2013,5,669358,667312,1336670,166381,173192,339573,835739,840504,1676243
BRISBANE,2013,6,667894,684459,1352353,186576,201564,388140,854470,886023,1740493
BRISBANE,2013,7,762731,745224,1507955,234492,190947,425439,997223,936171,1933394
BRISBANE,2013,8,729675,720843,1450518,202091,209981,412072,931766,930824,1862590
BRISBANE,2013,9,721283,714519,1435802,203232,209090,412322,924515,923609,1848124
BRISBANE,2013,10,768788,774774,1543562,225003,188766,413769,993791,963540,1957331
BRISBANE,2013,11,718088,718447,1436535,184757,192166,376923,902845,910613,1813458
BRISBANE,2013,12,750551,729882,1480433,209001,233727,442728,959552,963609,1923161
BRISBANE,2014,1,683604,688577,1372181,243665,197869,441534,927269,886446,1813715
BRISBANE,2014,2,611754,613347,1225101,184183,168744,352927,795937,782091,1578028
BRISBANE,2014,3,697430,695026,1392456,182017,180736,362753,879447,875762,1755209
BRISBANE,2014,4,717116,713104,1430220,203052,203842,406894,920168,916946,1837114
BRISBANE,2014,5,690348,686761,1377109,181007,186442,367449,871355,873203,1744558
BRISBANE,2014,6,677315,684118,1361433,185947,207236,393183,863262,891354,1754616
BRISBANE,2014,7,767925,756240,1524165,247977,207772,455749,1015902,964012,1979914
BRISBANE,2014,8,724926,719873,1444799,213173,223083,436256,938099,942956,1881055
BRISBANE,2014,9,723998,723032,1447030,216209,214891,431100,940207,937923,1878130
BRISBANE,2014,10,776924,780848,1557772,234133,204479,438612,1011057,985327,1996384
BRISBANE,2014,11,693076,696103,1389179,197992,207211,405203,891068,903314,1794382
BRISBANE,2014,12,739816,721575,1461391,221355,251966,473321,961171,973541,1934712
BRISBANE,2015,1,649819,670411,1320230,259107,217528,476635,908926,887939,1796865
BRISBANE,2015,2,594295,594204,1188499,204702,186053,390755,798997,780257,1579254
BRISBANE,2015,3,697493,691926,1389419,205557,209665,415222,903050,901591,1804641
BRISBANE,2015,4,691971,694729,1386700,205882,212965,418847,897853,907694,1805547
BRISBANE,2015,5,668512,665042,1333554,189075,198431,387506,857587,863473,1721060
BRISBANE,2015,6,665708,666152,1331860,194338,219792,414130,860046,885944,1745990
BRISBANE,2015,7,772477,755862,1528339,246477,216603,463080,1018954,972465,1991419
BRISBANE,2015,8,701345,703706,1405051,217948,232266,450214,919293,935972,1855265
BRISBANE,2015,9,734237,724209,1458446,222465,226764,449229,956702,950973,1907675
BRISBANE,2015,10,752480,761055,1513535,242288,216271,458559,994768,977326,1972094
BRISBANE,2015,11,716798,726921,1443719,202450,210900,413350,919248,937821,1857069
BRISBANE,2015,12,754152,733470,1487622,232652,268343,500995,986804,1001813,1988617
BRISBANE,2016,1,668003,684524,1352527,272608,233848,506456,940611,918372,1858983
BRISBANE,2016,2,627222,628947,1256169,212385,196486,408871,839607,825433,1665040
BRISBANE,2016,3,710475,717302,1427777,207898,219618,427516,918373,936920,1855293
BRISBANE,2016,4,698082,690470,1388552,212414,207393,419807,910496,897863,1808359
BRISBANE,2016,5,684637,680157,1364794,192720,200906,393626,877357,881063,1758420
BRISBANE,2016,6,686183,685336,1371519,201824,228594,430418,888007,913930,1801937
BRISBANE,2016,7,774563,759615,1534178,265175,226192,491367,1039738,985807,2025545
BRISBANE,2016,8,717033,719211,1436244,221238,238799,460037,938271,958010,1896281
BRISBANE,2016,9,751149,738748,1489897,235700,237262,472962,986849,976010,1962859
BRISBANE,2016,10,745465,757564,1503029,251916,231523,483439,997381,989087,1986468
BRISBANE,2016,11,715585,722357,1437942,212287,226400,438687,927872,948757,1876629
BRISBANE,2016,12,760279,732945,1493224,242936,273622,516558,1003215,1006567,2009782
BRISBANE,2017,1,679191,700014,1379205,280306,243488,523794,959497,943502,1902999
BRISBANE,2017,2,603110,607321,1210431,217270,195290,412560,820380,802611,1622991
BRISBANE,2017,3,704824,700905,1405729,215447,224530,439977,920271,925435,1845706
BRISBANE,2017,4,700334,701979,1402313,236642,240158,476800,936976,942137,1879113
BRISBANE,2017,5,693729,679803,1373532,207596,219433,427029,901325,899236,1800561
BRISBANE,2017,6,692620,694779,1387399,216431,240442,456873,909051,935221,1844272
BRISBANE,2017,7,785638,777468,1563106,272272,237677,509949,1057910,1015145,2073055
BRISBANE,2017,8,732144,735371,1467515,233723,250234,483957,965867,985605,1951472
BRISBANE,2017,9,757027,737443,1494470,245888,248264,494152,1002915,985707,1988622
BRISBANE,2017,10,764991,789151,1554142,260136,234779,494915,1025127,1023930,2049057
BRISBANE,2017,11,738661,741905,1480566,222363,235437,457800,961024,977342,1938366
BRISBANE,2017,12,763468,738050,1501518,257004,294531,551535,1020472,1032581,2053053
BRISBANE,2018,1,681869,696460,1378329,296079,248966,545045,977948,945426,1923374
BRISBANE,2018,2,627502,632036,1259538,231627,211703,443330,859129,843739,1702868
BRISBANE,2018,3,732614,724871,1457485,241454,245843,487297,974068,970714,1944782
BRISBANE,2018,4,702211,701528,1403739,243330,247399,490729,945541,948927,1894468
BRISBANE,2018,5,705597,704367,1409964,222438,234141,456579,928035,938508,1866543
BRISBANE,2018,6,684834,679775,1364609,230782,257206,487988,915616,936981,1852597
BRISBANE,2018,7,803426,793303,1596729,297336,255284,552620,1100762,1048587,2149349
BRISBANE,2018,8,756649,754898,1511547,256833,277712,534545,1013482,1032610,2046092
BRISBANE,2018,9,732027,722595,1454622,257304,271474,528778,989331,994069,1983400
BRISBANE,2018,10,775645,787653,1563298,284433,248094,532527,1060078,1035747,2095825
BRISBANE,2018,11,745591,744689,1490280,231942,246721,478663,977533,991410,1968943
BRISBANE,2018,12,744079,720310,1464389,265519,308614,574133,1009598,1028924,2038522
BRISBANE,2019,1,680091,694414,1374505,317314,268620,585934,997405,963034,1960439
BRISBANE,2019,2,616250,622404,1238654,242960,216993,459953,859210,839397,1698607
BRISBANE,2019,3,716941,707741,1424682,236208,242477,478685,953149,950218,1903367
BRISBANE,2019,4,729676,729399,1459075,253286,268696,521982,982962,998095,1981057
BRISBANE,2019,5,713574,705242,1418816,239373,246644,486017,952947,951886,1904833
BRISBANE,2019,6,688110,690716,1378826,242225,271760,513985,930335,962476,1892811
BRISBANE,2019,7,807079,791137,1598216,313718,267968,581686,1120797,1059105,2179902
BRISBANE,2019,8,767014,761185,1528199,272091,295442,567533,1039105,1056627,2095732
BRISBANE,2019,9,760862,757044,1517906,262254,278326,540580,1023116,1035370,2058486
BRISBANE,2019,10,807162,817472,1624634,295301,259813,555114,1102463,1077285,2179748
BRISBANE,2019,11,746493,752828,1499321,255212,266720,521932,1001705,1019548,2021253
BRISBANE,2019,12,773116,744192,1517308,284412,327751,612163,1057528,1071943,2129471
BRISBANE,2020,1,707885,734476,1442361,333471,283668,617139,1041356,1018144,2059500
BRISBANE,2020,2,606981,612685,1219666,223875,197282,421157,830856,809967,1640823
BRISBANE,2020,3,445000,440149,885149,138690,125177,263867,583690,565326,1149016
BRISBANE,2020,4,26799,28101,54900,2379,6582,8961,29178,34683,63861
BRISBANE,2020,5,32659,32637,65296,1809,2679,4488,34468,35316,69784
BRISBANE,2020,6,71393,76000,147393,4496,5537,10033,75889,81537,157426
BRISBANE,2020,7,180038,171365,351403,3985,7081,11066,184023,178446,362469
BRISBANE,2020,8,140987,146225,287212,2853,8057,10910,143840,154282,298122
BRISBANE,2020,9,154735,156829,311564,2123,5762,7885,156858,162591,319449
BRISBANE,2020,10,193051,184825,377876,5315,7184,12499,198366,192009,390375
BRISBANE,2020,11,217430,224522,441952,4601,4844,9445,222031,229366,451397
BRISBANE,2020,12,414477,387548,802025,5302,5539,10841,419779,393087,812866
BRISBANE,2021,1,267902,283907,551809,4659,5284,9943,272561,289191,561752
BRISBANE,2021,2,298130,300469,598599,4586,4144,8730,302716,304613,607329
BRISBANE,2021,3,427648,425920,853568,6444,3936,10380,434092,429856,863948
BRISBANE,2021,4,429654,437156,866810,9980,11642,21622,439634,448798,888432
BRISBANE,2021,5,511000,503556,1014556,25723,22710,48433,536723,526266,1062989
BRISBANE,2021,6,430307,432858,863165,28021,24882,52903,458328,457740,916068
BRISBANE,2021,7,249494,245299,494793,19956,21025,40981,269450,266324,535774
BRISBANE,2021,8,121497,122053,243550,5549,4909,10458,127046,126962,254008
BRISBANE,2021,9,218867,223494,442361,3420,4240,7660,222287,227734,450021
BRISBANE,2021,10,234056,228529,462585,3399,4891,8290,237455,233420,470875
BRISBANE,2021,11,250852,253869,504721,2578,7419,9997,253430,261288,514718
BRISBANE,2021,12,395624,366513,762137,4454,14148,18602,400078,380661,780739
BRISBANE,2022,1,344849,354577,699426,13581,11602,25183,358430,366179,724609
BRISBANE,2022,2,353768,356813,710581,29642,16900,46542,383410,373713,757123
BRISBANE,2022,3,512295,519705,1032000,44992,40392,85384,557287,560097,1117384
BRISBANE,2022,4,656158,657024,1313182,75699,78551,154250,731857,735575,1467432
BRISBANE,2022,5,634184,628422,1262606,84015,90484,174499,718199,718906,1437105
BRISBANE,2022,6,654731,657804,1312535,96894,110899,207793,751625,768703,1520328
BRISBANE,2022,7,697055,686837,1383892,141980,131641,273621,839035,818478,1657513
BRISBANE,2022,8,642861,638494,1281355,139711,135646,275357,782572,774140,1556712
CAIRNS,2000,1,74969,77009,151978,23591,24206,47797,98560,101215,199775
CAIRNS,2000,2,68766,70218,138984,26080,23720,49800,94846,93938,188784
CAIRNS,2000,3,77908,74469,152377,25976,28293,54269,103884,102762,206646
CAIRNS,2000,4,83733,81871,165604,25685,25901,51586,109418,107772,217190
CAIRNS,2000,5,81817,80717,162534,24323,27257,51580,106140,107974,214114
CAIRNS,2000,6,93137,88277,181414,27172,25797,52969,120309,114074,234383
CAIRNS,2000,7,99629,100779,200408,32551,30177,62728,132180,130956,263136
CAIRNS,2000,8,102831,103926,206757,32279,35487,67766,135110,139413,274523
CAIRNS,2000,9,98930,98331,197261,24942,27067,52009,123872,125398,249270
CAIRNS,2000,10,100948,102358,203306,32754,29142,61896,133702,131500,265202
CAIRNS,2000,11,94273,96497,190770,32630,32793,65423,126903,129290,256193
CAIRNS,2000,12,88659,92661,181320,33287,29023,62310,121946,121684,243630
CAIRNS,2001,1,86942,93079,180021,29986,29195,59181,116928,122274,239202
CAIRNS,2001,2,66792,68751,135543,26454,24322,50776,93246,93073,186319
CAIRNS,2001,3,83956,82159,166115,29354,29556,58910,113310,111715,225025
CAIRNS,2001,4,90295,89082,179377,26027,27165,53192,116322,116247,232569
CAIRNS,2001,5,83488,84024,167512,24651,27175,51826,108139,111199,219338
CAIRNS,2001,6,92745,88592,181337,27756,27252,55008,120501,115844,236345
CAIRNS,2001,7,107043,105953,212996,29037,28446,57483,136080,134399,270479
CAIRNS,2001,8,99359,103004,202363,31795,34133,65928,131154,137137,268291
CAIRNS,2001,9,76837,76931,153768,26640,27707,54347,103477,104638,208115
CAIRNS,2001,10,72155,71607,143762,25650,24925,50575,97805,96532,194337
CAIRNS,2001,11,73927,76171,150098,26151,26647,52798,100078,102818,202896
CAIRNS,2001,12,75914,76387,152301,30451,24643,55094,106365,101030,207395
CAIRNS,2002,1,72663,77322,149985,28140,28915,57055,100803,106237,207040
CAIRNS,2002,2,65592,69309,134901,28950,25119,54069,94542,94428,188970
CAIRNS,2002,3,81376,79454,160830,33218,31235,64453,114594,110689,225283
CAIRNS,2002,4,80108,81251,161359,29253,29918,59171,109361,111169,220530
CAIRNS,2002,5,80502,78574,159076,28581,30130,58711,109083,108704,217787
CAIRNS,2002,6,87111,83316,170427,31758,29190,60948,118869,112506,231375
CAIRNS,2002,7,103269,101612,204881,33028,31489,64517,136297,133101,269398
CAIRNS,2002,8,102352,103651,206003,34601,38315,72916,136953,141966,278919
CAIRNS,2002,9,95435,91084,186519,30969,32670,63639,126404,123754,250158
CAIRNS,2002,10,98936,99129,198065,37340,32436,69776,136276,131565,267841
CAIRNS,2002,11,90423,91004,181427,35324,36121,71445,125747,127125,252872
CAIRNS,2002,12,87834,86336,174170,35910,33646,69556,123744,119982,243726
CAIRNS,2003,1,83214,86166,169380,35904,34735,70639,119118,120901,240019
CAIRNS,2003,2,70041,71162,141203,30925,30161,61086,100966,101323,202289
CAIRNS,2003,3,80613,79654,160267,32065,34794,66859,112678,114448,227126
CAIRNS,2003,4,85346,85705,171051,25439,27552,52991,110785,113257,224042
CAIRNS,2003,5,85471,86450,171921,19872,20728,40600,105343,107178,212521
CAIRNS,2003,6,92877,90182,183059,24576,23926,48502,117453,114108,231561
CAIRNS,2003,7,106400,105555,211955,30875,27413,58288,137275,132968,270243
CAIRNS,2003,8,104445,107698,212143,33926,34964,68890,138371,142662,281033
CAIRNS,2003,9,105899,105095,210994,32204,33713,65917,138103,138808,276911
CAIRNS,2003,10,106050,110315,216365,37089,32070,69159,143139,142385,285524
CAIRNS,2003,11,97735,99030,196765,36673,35911,72584,134408,134941,269349
CAIRNS,2003,12,100837,100626,201463,36271,34775,71046,137108,135401,272509
CAIRNS,2004,1,97476,105594,203070,36512,33924,70436,133988,139518,273506
CAIRNS,2004,2,77679,80087,157766,31776,28575,60351,109455,108662,218117
CAIRNS,2004,3,89539,90388,179927,33226,32978,66204,122765,123366,246131
CAIRNS,2004,4,101639,101778,203417,33354,32588,65942,134993,134366,269359
CAIRNS,2004,5,101940,101511,203451,32391,33545,65936,134331,135056,269387
CAIRNS,2004,6,114284,109924,224208,33390,32658,66048,147674,142582,290256
CAIRNS,2004,7,129466,131067,260533,38695,33214,71909,168161,164281,332442
CAIRNS,2004,8,127024,127915,254939,36293,41467,77760,163317,169382,332699
CAIRNS,2004,9,118540,116277,234817,37392,35464,72856,155932,151741,307673
CAIRNS,2004,10,118559,122517,241076,40935,37819,78754,159494,160336,319830
CAIRNS,2004,11,104582,109183,213765,39793,39791,79584,144375,148974,293349
CAIRNS,2004,12,103297,102325,205622,36863,34203,71066,140160,136528,276688
CAIRNS,2005,1,100664,105591,206255,39113,37860,76973,139777,143451,283228
CAIRNS,2005,2,90431,92571,183002,33076,33019,66095,123507,125590,249097
CAIRNS,2005,3,109542,107989,217531,38099,38431,76530,147641,146420,294061
CAIRNS,2005,4,109152,109133,218285,29976,30847,60823,139128,139980,279108
CAIRNS,2005,5,108763,108002,216765,28700,33264,61964,137463,141266,278729
CAIRNS,2005,6,123203,117056,240259,33002,30829,63831,156205,147885,304090
CAIRNS,2005,7,140786,143051,283837,38578,33760,72338,179364,176811,356175
CAIRNS,2005,8,140265,142281,282546,37629,43419,81048,177894,185700,363594
CAIRNS,2005,9,134205,132259,266464,38153,37265,75418,172358,169524,341882
CAIRNS,2005,10,128731,134052,262783,38776,35016,73792,167507,169068,336575
CAIRNS,2005,11,115642,118686,234328,38753,38455,77208,154395,157141,311536
CAIRNS,2005,12,116343,114549,230892,39929,36235,76164,156272,150784,307056
CAIRNS,2006,1,109322,115807,225129,40753,37480,78233,150075,153287,303362
CAIRNS,2006,2,89954,93536,183490,33353,32784,66137,123307,126320,249627
CAIRNS,2006,3,103418,103831,207249,35895,36073,71968,139313,139904,279217
CAIRNS,2006,4,114125,113803,227928,30899,31554,62453,145024,145357,290381
CAIRNS,2006,5,111451,111521,222972,28134,30388,58522,139585,141909,281494
CAIRNS,2006,6,127372,120239,247611,31871,30797,62668,159243,151036,310279
CAIRNS,2006,7,152746,152101,304847,31715,28879,60594,184461,180980,365441
CAIRNS,2006,8,142571,143914,286485,33113,36214,69327,175684,180128,355812
CAIRNS,2006,9,139296,137101,276397,33115,33425,66540,172411,170526,342937
CAIRNS,2006,10,141271,142201,283472,35112,31890,67002,176383,174091,350474
CAIRNS,2006,11,128939,130771,259710,32947,32541,65488,161886,163312,325198
CAIRNS,2006,12,121345,120442,241787,32552,30225,62777,153897,150667,304564
CAIRNS,2007,1,114541,120259,234800,31947,31554,63501,146488,151813,298301
CAIRNS,2007,2,102018,104313,206331,31309,27251,58560,133327,131564,264891
CAIRNS,2007,3,114595,113666,228261,30931,31172,62103,145526,144838,290364
CAIRNS,2007,4,120698,119999,240697,24694,25400,50094,145392,145399,290791
CAIRNS,2007,5,119278,116025,235303,23019,25929,48948,142297,141954,284251
CAIRNS,2007,6,131431,122998,254429,28136,26594,54730,159567,149592,309159
CAIRNS,2007,7,153718,153644,307362,32162,28765,60927,185880,182409,368289
CAIRNS,2007,8,145711,146989,292700,32731,34249,66980,178442,181238,359680
CAIRNS,2007,9,138720,134939,273659,28902,31021,59923,167622,165960,333582
CAIRNS,2007,10,144025,145052,289077,32098,29828,61926,176123,174880,351003
CAIRNS,2007,11,128781,130751,259532,30043,29487,59530,158824,160238,319062
CAIRNS,2007,12,123626,120637,244263,27776,27050,54826,151402,147687,299089
CAIRNS,2008,1,119673,125682,245355,27273,27304,54577,146946,152986,299932
CAIRNS,2008,2,107846,111227,219073,27046,23068,50114,134892,134295,269187
CAIRNS,2008,3,121225,121503,242728,27253,26655,53908,148478,148158,296636
CAIRNS,2008,4,119711,118512,238223,21768,23184,44952,141479,141696,283175
CAIRNS,2008,5,123664,121531,245195,22058,22571,44629,145722,144102,289824
CAIRNS,2008,6,135208,128860,264068,21931,21696,43627,157139,150556,307695
CAIRNS,2008,7,154430,154544,308974,26328,23019,49347,180758,177563,358321
CAIRNS,2008,8,148631,150384,299015,28985,31144,60129,177616,181528,359144
CAIRNS,2008,9,143994,136825,280819,24527,26023,50550,168521,162848,331369
CAIRNS,2008,10,146699,150828,297527,28320,24734,53054,175019,175562,350581
CAIRNS,2008,11,128202,129691,257893,24266,24527,48793,152468,154218,306686
CAIRNS,2008,12,129256,125045,254301,20631,21150,41781,149887,146195,296082
CAIRNS,2009,1,130359,138023,268382,18537,16984,35521,148896,155007,303903
CAIRNS,2009,2,102988,106588,209576,15352,14234,29586,118340,120822,239162
CAIRNS,2009,3,118938,118160,237098,18198,17539,35737,137136,135699,272835
CAIRNS,2009,4,128098,127789,255887,16231,15879,32110,144329,143668,287997
CAIRNS,2009,5,120353,121254,241607,14333,15001,29334,134686,136255,270941
CAIRNS,2009,6,126032,121247,247279,14746,14498,29244,140778,135745,276523
CAIRNS,2009,7,155297,153463,308760,17755,16377,34132,173052,169840,342892
CAIRNS,2009,8,142390,147829,290219,18813,19954,38767,161203,167783,328986
CAIRNS,2009,9,141266,135231,276497,18699,18824,37523,159965,154055,314020
CAIRNS,2009,10,144382,145780,290162,18559,17194,35753,162941,162974,325915
CAIRNS,2009,11,130274,131348,261622,16111,16589,32700,146385,147937,294322
CAIRNS,2009,12,124533,121771,246304,18047,16349,34396,142580,138120,280700
CAIRNS,2010,1,115618,122164,237782,16968,16811,33779,132586,138975,271561
CAIRNS,2010,2,109475,113285,222760,18708,15744,34452,128183,129029,257212
CAIRNS,2010,3,117633,114623,232256,18641,18119,36760,136274,132742,269016
CAIRNS,2010,4,123075,126177,249252,19035,19013,38048,142110,145190,287300
CAIRNS,2010,5,120298,118481,238779,16586,18067,34653,136884,136548,273432
CAIRNS,2010,6,138996,129471,268467,17905,18512,36417,156901,147983,304884
CAIRNS,2010,7,159579,160532,320111,24341,20546,44887,183920,181078,364998
CAIRNS,2010,8,149446,153659,303105,24728,27474,52202,174174,181133,355307
CAIRNS,2010,9,155627,146363,301990,24691,24656,49347,180318,171019,351337
CAIRNS,2010,10,155810,161684,317494,23636,21613,45249,179446,183297,362743
CAIRNS,2010,11,137290,140552,277842,22274,22039,44313,159564,162591,322155
CAIRNS,2010,12,145414,138845,284259,22953,22813,45766,168367,161658,330025
CAIRNS,2011,1,129363,135005,264368,22107,22050,44157,151470,157055,308525
CAIRNS,2011,2,107247,110367,217614,18556,16331,34887,125803,126698,252501
CAIRNS,2011,3,120947,121066,242013,19990,19163,39153,140937,140229,281166
CAIRNS,2011,4,138443,134419,272862,18519,18859,37378,156962,153278,310240
CAIRNS,2011,5,130729,130933,261662,17356,18504,35860,148085,149437,297522
CAIRNS,2011,6,146939,138109,285048,19085,18693,37778,166024,156802,322826
CAIRNS,2011,7,168361,169448,337809,26916,22192,49108,195277,191640,386917
CAIRNS,2011,8,155585,161361,316946,25287,27519,52806,180872,188880,369752
CAIRNS,2011,9,152813,144176,296989,23082,24708,47790,175895,168884,344779
CAIRNS,2011,10,152406,159147,311553,23564,21727,45291,175970,180874,356844
CAIRNS,2011,11,136771,140387,277158,19625,19528,39153,156396,159915,316311
CAIRNS,2011,12,141033,136042,277075,20453,20258,40711,161486,156300,317786
CAIRNS,2012,1,137858,145152,283010,20310,19523,39833,158168,164675,322843
CAIRNS,2012,2,109778,114481,224259,19335,17247,36582,129113,131728,260841
CAIRNS,2012,3,129302,127120,256422,20417,20853,41270,149719,147973,297692
CAIRNS,2012,4,143393,143788,287181,19108,19012,38120,162501,162800,325301
CAIRNS,2012,5,137338,134226,271564,17032,18281,35313,154370,152507,306877
CAIRNS,2012,6,154180,144376,298556,18641,19582,38223,172821,163958,336779
CAIRNS,2012,7,174535,179859,354394,24553,20007,44560,199088,199866,398954
CAIRNS,2012,8,161718,168050,329768,25790,27104,52894,187508,195154,382662
CAIRNS,2012,9,162460,154247,316707,22772,24224,46996,185232,178471,363703
CAIRNS,2012,10,166184,177593,343777,23142,20398,43540,189326,197991,387317
CAIRNS,2012,11,151728,157888,309616,23103,23068,46171,174831,180956,355787
CAIRNS,2012,12,150197,143744,293941,23186,24671,47857,173383,168415,341798
CAIRNS,2013,1,139922,152258,292180,23084,21479,44563,163006,173737,336743
CAIRNS,2013,2,123938,128914,252852,21829,20189,42018,145767,149103,294870
CAIRNS,2013,3,133590,128582,262172,21533,21190,42723,155123,149772,304895
CAIRNS,2013,4,144224,151242,295466,18953,18806,37759,163177,170048,333225
CAIRNS,2013,5,136268,134823,271091,15953,17390,33343,152221,152213,304434
CAIRNS,2013,6,165711,152438,318149,16920,18395,35315,182631,170833,353464
CAIRNS,2013,7,184689,193806,378495,24150,19409,43559,208839,213215,422054
CAIRNS,2013,8,175719,181971,357690,24696,27564,52260,200415,209535,409950
CAIRNS,2013,9,174335,166530,340865,20101,21374,41475,194436,187904,382340
CAIRNS,2013,10,171668,182915,354583,22144,18929,41073,193812,201844,395656
CAIRNS,2013,11,150984,155655,306639,17798,18220,36018,168782,173875,342657
CAIRNS,2013,12,165079,159070,324149,20333,21652,41985,185412,180722,366134
CAIRNS,2014,1,160822,172757,333579,23911,20221,44132,184733,192978,377711
CAIRNS,2014,2,126598,135121,261719,20129,19117,39246,146727,154238,300965
CAIRNS,2014,3,135222,137603,272825,19065,18792,37857,154287,156395,310682
CAIRNS,2014,4,156096,155713,311809,14670,16394,31064,170766,172107,342873
CAIRNS,2014,5,140494,140629,281123,13715,15252,28967,154209,155881,310090
CAIRNS,2014,6,157186,146090,303276,15273,16675,31948,172459,162765,335224
CAIRNS,2014,7,190882,193790,384672,23638,18074,41712,214520,211864,426384
CAIRNS,2014,8,176583,183251,359834,23182,26286,49468,199765,209537,409302
CAIRNS,2014,9,176654,165752,342406,19242,22088,41330,195896,187840,383736
CAIRNS,2014,10,175380,184351,359731,21715,18589,40304,197095,202940,400035
CAIRNS,2014,11,154640,159052,313692,16906,17259,34165,171546,176311,347857
CAIRNS,2014,12,171023,161710,332733,19374,21343,40717,190397,183053,373450
CAIRNS,2015,1,152476,165203,317679,22204,20752,42956,174680,185955,360635
CAIRNS,2015,2,140012,144177,284189,24375,20661,45036,164387,164838,329225
CAIRNS,2015,3,142490,140180,282670,19341,21334,40675,161831,161514,323345
CAIRNS,2015,4,155106,159990,315096,18491,19824,38315,173597,179814,353411
CAIRNS,2015,5,145872,144667,290539,17628,19137,36765,163500,163804,327304
CAIRNS,2015,6,166490,152862,319352,17394,19542,36936,183884,172404,356288
CAIRNS,2015,7,192616,197402,390018,28199,23289,51488,220815,220691,441506
CAIRNS,2015,8,181781,189008,370789,27312,30336,57648,209093,219344,428437
CAIRNS,2015,9,180672,171210,351882,23846,26196,50042,204518,197406,401924
CAIRNS,2015,10,178571,187352,365923,25590,23096,48686,204161,210448,414609
CAIRNS,2015,11,165109,167707,332816,21836,23067,44903,186945,190774,377719
CAIRNS,2015,12,182390,171966,354356,24899,27384,52283,207289,199350,406639
CAIRNS,2016,1,166392,180143,346535,28354,25600,53954,194746,205743,400489
CAIRNS,2016,2,147359,150684,298043,29128,28700,57828,176487,179384,355871
CAIRNS,2016,3,161725,158261,319986,26429,29816,56245,188154,188077,376231
CAIRNS,2016,4,158962,163293,322255,25976,25867,51843,184938,189160,374098
CAIRNS,2016,5,153667,154045,307712,18986,22772,41758,172653,176817,349470
CAIRNS,2016,6,177835,162796,340631,20267,23078,43345,198102,185874,383976
CAIRNS,2016,7,205259,208746,414005,28946,24878,53824,234205,233624,467829
CAIRNS,2016,8,189152,195768,384920,28342,33282,61624,217494,229050,446544
CAIRNS,2016,9,191670,182330,374000,27185,29632,56817,218855,211962,430817
CAIRNS,2016,10,190492,197416,387908,27703,26910,54613,218195,224326,442521
CAIRNS,2016,11,171693,174915,346608,23821,26864,50685,195514,201779,397293
CAIRNS,2016,12,188179,177439,365618,28437,31320,59757,216616,208759,425375
